# Balance Sheet data for NVDA (quarterly)
# Data retrieved on: 2026-09-13 21:49:19

,2026-07-31,2026-04-30,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31
Current Assets,197412000000.0,150995000000.0,125605000000.0,116492000000.0,102219000000.0,,
Other Current Assets,3409000000.0,3916000000.0,3180000000.0,2709000000.0,2658000000.0,,
Restricted Cash,36900000000.0,,,,2800000000.0,1000000000.0,
Inventory,31575000000.0,25797000000.0,21403000000.0,19784000000.0,14962000000.0,,
Finished Goods,6857000000.0,9201000000.0,8774000000.0,6840000000.0,8708000000.0,,
Work In Process,13377000000.0,9949000000.0,8822000000.0,8735000000.0,4411000000.0,,
Raw Materials,11341000000.0,6647000000.0,3807000000.0,4209000000.0,1843000000.0,,
Receivables,63059000000.0,40710000000.0,38466000000.0,33391000000.0,27808000000.0,,
Accounts Receivable,63059000000.0,40710000000.0,38466000000.0,33391000000.0,27808000000.0,,
Cash Cash Equivalents And Short Term Investments,62469000000.0,80572000000.0,62556000000.0,60608000000.0,53991000000.0,,
Other Short Term Investments,40026000000.0,67335000000.0,51951000000.0,49122000000.0,42352000000.0,,
Cash And Cash Equivalents,22443000000.0,13237000000.0,10605000000.0,11486000000.0,11639000000.0,,
